,cbBTC_USD,WBTC_USD,JupSOL_USD,JitoSOL_USD,arc_USD,Anon_USD,BILLY_USD,VIRTUAL_USD,AskJ_USD,arc_USD,JupSOL_USD,INF_USD
cbBTC_USD,1.0,0.9999365407427224,0.9200655010631916,0.9201975774737838,0.031094281459580937,0.011952783108442043,-0.0036983418755755703,0.2527194741480028,0.5232698368236318,0.031094281459580937,0.9200655010631916,0.9204502518554671
WBTC_USD,0.9999365407427224,1.0,0.9185379198397498,0.9186684048355176,0.029597068187265783,0.00796572639466614,-0.00012366881405059802,0.2523540458592773,0.5199523939192833,0.029597068187265783,0.9185379198397498,0.9189277940907357
JupSOL_USD,0.9200655010631916,0.9185379198397498,1.0,0.999992235761395,0.08037646669105723,0.13472763129228005,-0.1883878224521529,0.2662529986578106,0.6100023262085642,0.08037646669105723,1.0,0.9996578379738312
JitoSOL_USD,0.9201975774737838,0.9186684048355176,0.999992235761395,1.0,0.07842683882160867,0.133111952065944,-0.18957735516176172,0.2648282440712318,0.6113626765874091,0.07842683882160867,0.9999922357613952,0.9996508175175964
arc_USD,0.031094281459580937,0.029597068187265783,0.08037646669105723,0.07842683882160867,1.0,0.6857638586108544,0.43886929124492285,0.7810601150971557,-0.33153050840103004,1.0,0.08037646669105737,0.08250407917581003
Anon_USD,0.011952783108442043,0.00796572639466614,0.13472763129228005,0.133111952065944,0.6857638586108544,1.0,-0.004012007735118954,0.3984943940533261,-0.14407132091233657,0.6857638586108545,0.1347276312922801,0.13491736227589718
BILLY_USD,-0.0036983418755755703,-0.00012366881405059802,-0.1883878224521529,-0.18957735516176172,0.43886929124492285,-0.004012007735118954,1.0,0.5979558193927951,-0.6546534574693911,0.43886929124492274,-0.18838782245215283,-0.18618195064719736
VIRTUAL_USD,0.2527194741480028,0.2523540458592773,0.2662529986578106,0.2648282440712318,0.7810601150971557,0.3984943940533261,0.5979558193927951,1.0,-0.3487725668114293,0.7810601150971553,0.26625299865781044,0.2676144894936736
AskJ_USD,0.5232698368236318,0.5199523939192833,0.6100023262085642,0.6113626765874091,-0.33153050840103004,-0.14407132091233657,-0.6546534574693911,-0.3487725668114293,1.0,-0.33153050840102993,0.6100023262085643,0.6088630193674939
arc_USD,0.031094281459580937,0.029597068187265783,0.08037646669105723,0.07842683882160867,1.0,0.6857638586108545,0.43886929124492274,0.7810601150971553,-0.33153050840102993,1.0,0.08037646669105737,0.08250407917581003
JupSOL_USD,0.9200655010631916,0.9185379198397498,1.0,0.9999922357613952,0.08037646669105737,0.1347276312922801,-0.18838782245215283,0.26625299865781044,0.6100023262085643,0.08037646669105737,1.0,0.9996578379738312
INF_USD,0.9204502518554671,0.9189277940907357,0.9996578379738312,0.9996508175175964,0.08250407917581003,0.13491736227589718,-0.18618195064719736,0.2676144894936736,0.6088630193674939,0.08250407917581003,0.9996578379738312,1.0
